127.0.0.1, 2023-05-27 00:21:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2023-05-27 00:30:41, GET, /, HTTP/1.1, 303, 0.001129
127.0.0.1, 2023-05-27 00:30:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.066483
127.0.0.1, 2023-05-27 00:30:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000284
127.0.0.1, 2023-05-27 00:30:48, GET, /movies/static/movies/index.html, HTTP/1.1, 304, 0.000535
127.0.0.1, 2023-05-27 00:30:48, GET, /movies/static/movies/vendor/star-rating.min.js.map, HTTP/1.1, 404, 0.000941
127.0.0.1, 2023-05-27 00:30:48, GET, /movies/static/movies/vendor/axios.min.map, HTTP/1.1, 404, 0.000391
127.0.0.1, 2023-05-27 00:30:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2023-05-27 00:31:04, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001236
127.0.0.1, 2023-05-27 10:35:28, GET, /admin/debug/interact, HTTP/1.1, 303, 0.041132
127.0.0.1, 2023-05-27 10:35:28, GET, /admin/default/index, HTTP/1.1, 200, 0.023002
127.0.0.1, 2023-05-27 10:35:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2023-05-27 10:35:30, POST, /admin/default/index, HTTP/1.1, 303, 0.008338
127.0.0.1, 2023-05-27 10:35:30, GET, /admin/debug/interact, HTTP/1.1, 200, 0.122965
127.0.0.1, 2023-05-27 10:35:30, GET, /admin/static/_2.24.1/js/autoscroll.js, HTTP/1.1, 200, 0.002438
127.0.0.1, 2023-05-27 10:35:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2023-05-27 10:35:33, GET, /admin/debug/interact, HTTP/1.1, 200, 0.012258
127.0.0.1, 2023-05-27 10:35:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000149
127.0.0.1, 2023-05-27 10:35:36, GET, /admin/debug/interact, HTTP/1.1, 200, 0.009083
127.0.0.1, 2023-05-27 10:35:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2023-05-27 10:35:39, GET, /admin/debug/interact, HTTP/1.1, 200, 0.012279
127.0.0.1, 2023-05-27 10:35:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2023-05-27 10:35:43, GET, /admin/debug/interact, HTTP/1.1, 200, 0.011509
127.0.0.1, 2023-05-27 10:35:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2023-05-27 10:35:46, GET, /admin/debug/interact, HTTP/1.1, 200, 0.012397
127.0.0.1, 2023-05-27 10:35:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2023-05-27 10:35:49, GET, /admin/debug/interact, HTTP/1.1, 200, 0.013289
127.0.0.1, 2023-05-27 10:35:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000176
127.0.0.1, 2023-05-27 10:35:52, GET, /admin/debug/interact, HTTP/1.1, 200, 0.012770
127.0.0.1, 2023-05-27 10:35:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000152
127.0.0.1, 2023-05-27 10:35:55, GET, /admin/debug/interact, HTTP/1.1, 200, 0.007705
127.0.0.1, 2023-05-27 10:35:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000252
127.0.0.1, 2023-05-27 10:35:59, GET, /admin/debug/interact, HTTP/1.1, 200, 0.008125
127.0.0.1, 2023-05-27 10:35:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2023-05-27 10:36:02, GET, /admin/debug/interact, HTTP/1.1, 200, 0.007992
127.0.0.1, 2023-05-27 10:36:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2023-05-27 10:36:05, GET, /admin/debug/interact, HTTP/1.1, 200, 0.007974
127.0.0.1, 2023-05-27 10:36:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2023-05-27 10:36:08, GET, /admin/debug/interact, HTTP/1.1, 200, 0.012900
127.0.0.1, 2023-05-27 10:36:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000155
127.0.0.1, 2023-05-27 10:36:09, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.000838
127.0.0.1, 2023-05-27 10:36:12, GET, /admin/debug/interact, HTTP/1.1, 200, 0.011478
127.0.0.1, 2023-05-27 10:36:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
127.0.0.1, 2023-05-27 10:36:15, GET, /admin/debug/interact, HTTP/1.1, 200, 0.011034
127.0.0.1, 2023-05-27 10:36:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000260
127.0.0.1, 2023-05-27 10:36:18, GET, /admin/debug/interact, HTTP/1.1, 200, 0.011046
127.0.0.1, 2023-05-27 10:36:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000167
127.0.0.1, 2023-05-27 10:36:21, GET, /admin/debug/interact, HTTP/1.1, 200, 0.011001
127.0.0.1, 2023-05-27 10:36:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2023-05-27 10:36:24, GET, /admin/debug/interact, HTTP/1.1, 200, 0.010971
127.0.0.1, 2023-05-27 10:36:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2023-05-27 10:36:26, GET, /admin/default/site, HTTP/1.1, 200, 0.033065
127.0.0.1, 2023-05-27 10:36:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
127.0.0.1, 2023-05-27 10:36:27, POST, /admin/default/check_version, HTTP/1.1, 200, 1.755456
127.0.0.1, 2023-05-27 10:36:52, GET, /admin/default/errors/movies, HTTP/1.1, 200, 0.031126
127.0.0.1, 2023-05-27 10:36:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2023-05-27 10:37:07, GET, /admin/default/errors/movies, HTTP/1.1, 200, 0.013215
127.0.0.1, 2023-05-27 10:37:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000176
127.0.0.1, 2023-05-27 10:37:09, GET, /admin/default/errors/movies, HTTP/1.1, 200, 0.011134
127.0.0.1, 2023-05-27 10:37:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2023-05-27 10:37:09, GET, /admin/default/errors/movies, HTTP/1.1, 200, 0.012263
127.0.0.1, 2023-05-27 10:37:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000159
127.0.0.1, 2023-05-27 10:37:09, GET, /admin/default/errors/movies, HTTP/1.1, 200, 0.011474
127.0.0.1, 2023-05-27 10:37:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000161
127.0.0.1, 2023-05-27 10:37:15, GET, /admin/default/errors/movies/old, HTTP/1.1, 200, 0.012780
127.0.0.1, 2023-05-27 10:37:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000208
127.0.0.1, 2023-05-27 10:37:28, GET, /admin/default/errors/movies/old, HTTP/1.1, 200, 0.013412
127.0.0.1, 2023-05-27 10:37:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2023-05-27 10:41:56, GET, /movies/static/movies/index.html, HTTP/1.1, 304, 0.000603
127.0.0.1, 2023-05-27 10:41:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000163
127.0.0.1, 2023-05-27 10:42:05, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000636
127.0.0.1, 2023-05-27 10:42:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000254
127.0.0.1, 2023-05-27 10:42:09, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 304, 0.000306
127.0.0.1, 2023-05-27 10:42:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2023-05-27 10:42:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2023-05-27 10:42:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000600
127.0.0.1, 2023-05-27 10:47:29, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000493
127.0.0.1, 2023-05-27 10:47:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000229
127.0.0.1, 2023-05-27 10:47:30, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 304, 0.000429
127.0.0.1, 2023-05-27 10:47:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000165
127.0.0.1, 2023-05-27 10:47:31, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 304, 0.000305
127.0.0.1, 2023-05-27 10:47:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000155
127.0.0.1, 2023-05-27 10:47:31, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 304, 0.000438
127.0.0.1, 2023-05-27 10:47:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000158
127.0.0.1, 2023-05-27 10:47:40, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000517
127.0.0.1, 2023-05-27 10:47:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
127.0.0.1, 2023-05-27 10:48:06, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000522
127.0.0.1, 2023-05-27 10:48:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000152
127.0.0.1, 2023-05-27 10:50:11, GET, /movies/static/movies/index的副本.html, HTTP/1.1, 200, 0.000420
